Bar Name,Brand Name,annual_consumption_ml,cumulative_share,ABC_class
Brown's Bar,Yellow Tail,29588.63,0.015029667112355788,A
Thomas's Bar,Grey Goose,28510.3,0.029511592036672904,A
Johnson's Bar,Captain Morgan,28319.66,0.04389668058369579,A
Taylor's Bar,Grey Goose,28017.89,0.05812848380982022,A
Brown's Bar,Grey Goose,27873.3,0.07228684194680819,A
Smith's Bar,Absolut,27181.45,0.0860937720118752,A
Anderson's Bar,Captain Morgan,27066.83,0.09984248037338854,A
Anderson's Bar,Barefoot,26989.63,0.11355197467527584,A
Johnson's Bar,Malibu,26356.51,0.12693987305189808,A
Johnson's Bar,Absolut,26070.31,0.14018239495358534,A
Anderson's Bar,Bacardi,25966.47,0.15337217089735064,A
Anderson's Bar,Jim Beam,25888.54,0.16652236197496753,A
Johnson's Bar,Smirnoff,25506.02,0.17947825043486207,A
Johnson's Bar,Grey Goose,25454.61,0.19240802497240714,A
Thomas's Bar,Jim Beam,25158.15,0.20518721142553842,A
Smith's Bar,Grey Goose,25041.56,0.21790717550545982,A
Anderson's Bar,Smirnoff,24889.670000000002,0.230549986431021,A
Smith's Bar,Malibu,24552.18,0.2430213679137946,A
Thomas's Bar,Jack Daniels,24544.53,0.2554888635473954,A
Taylor's Bar,Jim Beam,24368.84,0.2678671167180985,A
Thomas's Bar,Bacardi,24164.8,0.28014172692602823,A
Smith's Bar,Yellow Tail,24085.21,0.2923759090639367,A
Anderson's Bar,Grey Goose,24026.36,0.30458019810069237,A
Smith's Bar,Jim Beam,23928.05,0.31673455016592167,A
Brown's Bar,Jameson,23813.13,0.3288305281413552,A
Brown's Bar,Jim Beam,23777.58,0.3409084483471035,A
Brown's Bar,Bacardi,23420.89,0.3528051863905716,A
Taylor's Bar,Smirnoff,23242.64,0.364611381608543,A
Anderson's Bar,Jameson,23117.1,0.3763538082637494,A
Taylor's Bar,Jack Daniels,23096.93,0.38808598948394735,A
Anderson's Bar,Sutter Home,22815.74,0.3996753390794528,A
Taylor's Bar,Captain Morgan,22766.61,0.4112397328880485,A
Smith's Bar,Captain Morgan,22119.31,0.42247532798167076,A
Johnson's Bar,Barefoot,22087.13,0.4336945771110602,A
Johnson's Bar,Sutter Home,22046.56,0.4448932185409804,A
Taylor's Bar,Malibu,22042.69,0.4560898941883778,A
Taylor's Bar,Budweiser,22022.14,0.46727613137819346,A
Thomas's Bar,Miller,21842.3,0.4783710180954294,A
Smith's Bar,Sutter Home,21832.97,0.489461165600537,A
Taylor's Bar,Barefoot,21726.79,0.5004973785350345,A
Thomas's Bar,Malibu,21676.34,0.5115079651831571,A
Johnson's Bar,Yellow Tail,21600.25,0.5224799016007494,A
Anderson's Bar,Coors,21479.29,0.5333903958855389,A
Anderson's Bar,Jack Daniels,21454.32,0.544288206555447,A
Taylor's Bar,Jameson,21441.19,0.5551793477874936,A
Thomas's Bar,Smirnoff,21417.85,0.5660586333699071,A
Smith's Bar,Barefoot,21232.32,0.576843678220683,A
Thomas's Bar,Barefoot,21030.86,0.5875263906303675,A
Brown's Bar,Sutter Home,20634.920000000002,0.5980079836777675,A
Smith's Bar,Miller,20572.98,0.6084581140457215,A
Thomas's Bar,Absolut,20429.04,0.6188351294947301,A
Thomas's Bar,Captain Morgan,19875.62,0.6289310329634504,A
Anderson's Bar,Yellow Tail,19760.03,0.6389682220131011,A
Johnson's Bar,Coors,19542.98,0.6488951596166139,A
Brown's Bar,Heineken,19537.43,0.6588192780746484,A
Johnson's Bar,Heineken,19525.87,0.6687375245828218,A
Johnson's Bar,Budweiser,19345.170000000002,0.6785639837778549,A
Brown's Bar,Barefoot,19246.22,0.6883401809107117,A
Smith's Bar,Bacardi,19114.25,0.6980493433356819,A
Brown's Bar,Malibu,19057.03,0.707729440624748,A
Johnson's Bar,Jack Daniels,19002.59,0.7173818848904198,A
Brown's Bar,Jack Daniels,18868.36,0.7269661464718479,A
Johnson's Bar,Bacardi,18711.57,0.7364707659236286,A
Taylor's Bar,Absolut,18506.079999999998,0.7458710058791327,A
Thomas's Bar,Yellow Tail,18394.35,0.7552144921185484,A
Brown's Bar,Absolut,18358.23,0.7645396310544188,A
Anderson's Bar,Miller,18180.3,0.7737743897101174,A
Smith's Bar,Jack Daniels,18084.16,0.7829603136547738,A
Smith's Bar,Jameson,18083.46,0.792145882031532,A
Brown's Bar,Captain Morgan,17887.5,0.80123191171497,B
Johnson's Bar,Jameson,17708.62,0.810227078561803,B
Anderson's Bar,Heineken,17413.71,0.8190724446531394,B
Brown's Bar,Smirnoff,17102.29,0.8277596236661242,B
Smith's Bar,Heineken,17079.0,0.8364349724271829,B
Smith's Bar,Smirnoff,17018.2,0.8450794375765154,B
Brown's Bar,Budweiser,16696.49,0.8535604887993932,B
Johnson's Bar,Jim Beam,16581.27,0.8619830135462331,B
Taylor's Bar,Bacardi,16573.82,0.8704017540347284,B
Brown's Bar,Miller,16480.91,0.8787733005040544,B
Taylor's Bar,Yellow Tail,16415.18,0.8871114591477429,B
Johnson's Bar,Miller,16325.26,0.8954039425551416,B
Taylor's Bar,Sutter Home,15951.02,0.9035063292050989,B
Thomas's Bar,Jameson,15837.64,0.9115511240146366,B
Smith's Bar,Coors,15173.35,0.9192584899683581,B
Thomas's Bar,Budweiser,15071.1,0.9269139176112408,B
Taylor's Bar,Coors,14578.49,0.9343191219651026,B
Taylor's Bar,Miller,14317.58,0.941591796004236,B
Brown's Bar,Coors,14029.01,0.9487178897171221,B
Thomas's Bar,Sutter Home,13964.45,0.9558111899107146,C
Smith's Bar,Budweiser,13615.460000000001,0.9627272191889067,C
Anderson's Bar,Malibu,13594.76,0.969632733816396,C
Thomas's Bar,Heineken,13302.41,0.9763897480509879,C
Thomas's Bar,Coors,13196.2,0.9830928124763455,C
Anderson's Bar,Absolut,13113.91,0.9897540773555032,C
Taylor's Bar,Heineken,10108.67,0.9948888181342638,C
Anderson's Bar,Budweiser,10062.29,1.0000000000000002,
